GRMN 1120, 31482.0, MWF, 11:00 AM - 11:50 AM, 3.0, GRMN 1120 - g:German II (M/W/F 11:00 AM - 11:50 AM)
FDMA 0289, 31562.0, TR, 02:00 PM - 04:45 PM, 3.0, FDMA 0289 - Mobile Application Design (T/R 02:00 PM - 04:45 PM)
FDMA 0289, 31558.0, TR, 05:00 PM - 06:40 PM, 3.0, FDMA 0289 - Sculpture & Identity (T/R 05:00 PM - 06:40 PM)
ENVS 412, 31786.0, TR, 11:00 AM - 12:15 PM, 3.0, ENVS 412 - Geographic Information Systems (T/R 11:00 AM - 12:15 PM)
GEOC 575, 31749.0, W, 09:00 AM - 09:50 AM, 2.0, GEOC 575 - Electron Microprobe Analysis (W 09:00 AM - 09:50 AM)
GEOC 589, 30971.0, W, 11:00 AM - 01:50 PM, 3.0, GEOC 589 - Lithogeochemistry (W 11:00 AM - 01:50 PM)
GEOC 589, 30972.0, M, 10:00 AM - 12:50 PM, 3.0, GEOC 589 - Crustal Fluids (M 10:00 AM - 12:50 PM)
GEOC 589, 30975.0, T, 04:30 PM - 07:00 PM, 3.0, GEOC 589 - Geology & Econ of Ind. Mineral (T 04:30 PM - 07:00 PM)
GEOC 592, 30743.0, M, 01:00 PM - 01:50 PM, 1.0, GEOC 592 - Graduate Seminar (M 01:00 PM - 01:50 PM)
GEOC 593, 30677.0, F, 12:00 PM - 12:50 PM, 1.0, GEOC 593 - Seminar (F 12:00 PM - 12:50 PM)
ENGL 1110, 30752.0, TR, 09:30 AM - 10:45 AM, 3.0, ENGL 1110 - Composition I (T/R 09:30 AM - 10:45 AM)
ENGL 1110, 31472.0, TR, 11:00 AM - 12:15 PM, 3.0, ENGL 1110 - Composition I (T/R 11:00 AM - 12:15 PM)
ENGL 1120, 30753.0, MWF, 02:00 PM - 02:50 PM, 3.0, ENGL 1120 - Composition II (M/W/F 02:00 PM - 02:50 PM)
ENGL 1120, 30754.0, TR, 02:00 PM - 03:15 PM, 3.0, ENGL 1120 - Composition II (T/R 02:00 PM - 03:15 PM)
ENGL 1120, 30755.0, TR, 03:30 PM - 04:45 PM, 3.0, ENGL 1120 - Composition II (T/R 03:30 PM - 04:45 PM)
ENGL 1120, 30756.0, MWF, 10:00 AM - 10:50 AM, 3.0, ENGL 1120 - Composition II (M/W/F 10:00 AM - 10:50 AM)
ENGL 1120, 30757.0, MWF, 11:00 AM - 11:50 AM, 3.0, ENGL 1120 - Composition II (M/W/F 11:00 AM - 11:50 AM)
ENGL 1120, 30758.0, MWF, 09:00 AM - 09:50 AM, 3.0, ENGL 1120 - Composition II (M/W/F 09:00 AM - 09:50 AM)
ENGL 1120, 30759.0, MWF, 12:00 PM - 12:50 PM, 3.0, ENGL 1120 - Composition II (M/W/F 12:00 PM - 12:50 PM)
ENGL 1120, 30760.0, MWF, 01:00 PM - 01:50 PM, 3.0, ENGL 1120 - Composition II (M/W/F 01:00 PM - 01:50 PM)
ENGL 1120, 31479.0, TR, 12:30 PM - 01:45 PM, 3.0, ENGL 1120 - Composition II (T/R 12:30 PM - 01:45 PM)
ENGL 341, 30005.0, TR, 09:30 AM - 10:45 AM, 3.0, ENGL 341 - Technical Writing (T/R 09:30 AM - 10:45 AM)
ENGL 341, 30006.0, TR, 11:00 AM - 12:15 PM, 3.0, ENGL 341 - Technical Writing (T/R 11:00 AM - 12:15 PM)
ENGL 341, 30007.0, TR, 02:00 PM - 03:15 PM, 3.0, ENGL 341 - Technical Writing (T/R 02:00 PM - 03:15 PM)
ENGL 341, 30312.0, TR, 08:00 AM - 09:15 AM, 3.0, ENGL 341 - Technical Writing (T/R 08:00 AM - 09:15 AM)
ENGL 341, 30424.0, MWF, 02:00 PM - 02:50 PM, 3.0, ENGL 341 - Technical Writing (M/W/F 02:00 PM - 02:50 PM)
ES 111, 30161.0, TR, 12:30 PM - 01:45 PM, 3.0, ES 111 - Computer Programming for Engrs (T/R 12:30 PM - 01:45 PM)
ES 201, 31063.0, TR, 12:30 PM - 01:45 PM, 3.0, ES 201 - Statics (T/R 12:30 PM - 01:45 PM)
ES 201, 30194.0, MWF, 10:00 AM - 10:50 AM, 3.0, ES 201 - Statics (M/W/F 10:00 AM - 10:50 AM)
ES 216, 30009.0, TR, 02:00 PM - 03:15 PM, 3.0, ES 216 - Engineering Fluid Mechanics (T/R 02:00 PM - 03:15 PM)
ES 216, 30342.0, MWF, 11:00 AM - 11:50 AM, 3.0, ES 216 - Engineering Fluid Mechanics (M/W/F 11:00 AM - 11:50 AM)
ES 302, 30164.0, TR, 09:30 AM - 10:45 AM, 3.0, ES 302 - Mechanics of Materials (T/R 09:30 AM - 10:45 AM)
ES 302, 30367.0, MWF, 11:00 AM - 11:50 AM, 3.0, ES 302 - Mechanics of Materials (M/W/F 11:00 AM - 11:50 AM)
ES 303, 30015.0, TR, 09:30 AM - 10:45 AM, 3.0, ES 303 - Engineering Dynamics (T/R 09:30 AM - 10:45 AM)
ES 303, 31792.0, MWF, 01:00 PM - 01:50 PM, 3.0, ES 303 - Engineering Dynamics (M/W/F 01:00 PM - 01:50 PM)
ES 316, 30018.0, TR, 09:30 AM - 10:45 AM, 3.0, ES 316 - Engineering Economics (T/R 09:30 AM - 10:45 AM)
ES 332, 30154.0, MWF, 11:00 AM - 11:50 AM, 3.0, ES 332 - Electrical Engineering (M/W/F 11:00 AM - 11:50 AM)
ES 347, 30020.0, TR, 12:30 PM - 01:45 PM, 3.0, ES 347 - Thermodynamics (T/R 12:30 PM - 01:45 PM)
ES 350, 30021.0, MWF, 10:00 AM - 10:50 AM, 3.0, ES 350 - Heat & Mass Transfer (M/W/F 10:00 AM - 10:50 AM)
ES 405L, 30542.0, T, 02:00 PM - 03:55 PM, 1.0, ES 405L - Inst, Meas, & Proc Control Lab (T 02:00 PM - 03:55 PM)
EMGT 508, 31225.0, R, 05:00 PM - 08:00 PM, 3.0, EMGT 508 - Engineering Project Management (R 05:00 PM - 08:00 PM)
EMGT 509, 31638.0, T, 05:00 PM - 08:00 PM, 3.0, EMGT 509 - Systems Risk & Decision Analy (T 05:00 PM - 08:00 PM)
EMGT 513, 31639.0, M, 05:00 PM - 08:00 PM, 3.0, EMGT 513 - Technology Leadership (M 05:00 PM - 08:00 PM)
EMGT 589, 31640.0, W, 05:00 PM - 08:00 PM, 3.0, EMGT 589 - Supply Chain Management (W 05:00 PM - 08:00 PM)
EMGT 589, 31641.0, R, 05:00 PM - 08:00 PM, 3.0, EMGT 589 - Managerial Economics (R 05:00 PM - 08:00 PM)
EE 161, 30660.0, W, 02:00 PM - 04:50 PM, 1.0, EE 161 - Basic Electronics Laboratory I (W 02:00 PM - 04:50 PM)
EE 161, 30661.0, R, 02:00 PM - 04:50 PM, 1.0, EE 161 - Basic Electronics Laboratory I (R 02:00 PM - 04:50 PM)
EE 212, 30674.0, MWF, 09:00 AM - 09:50 AM, 3.0, EE 212 - Circuits & Signals II (M/W/F 09:00 AM - 09:50 AM)
EE 252, 30883.0, MWF, 10:00 AM - 10:50 AM, 3.0, EE 252 - Digital Electronics (M/W/F 10:00 AM - 10:50 AM)
EE 332, 30667.0, MWF, 11:00 AM - 11:50 AM, 3.0, EE 332 - Electricity and Magnetism (M/W/F 11:00 AM - 11:50 AM)
EE 362, 30668.0, F, 02:00 PM - 04:50 PM, 1.0, EE 362 - Mixed Electronics Lab II (F 02:00 PM - 04:50 PM)
EE 372, 30666.0, TR, 11:00 AM - 12:15 PM, 3.0, EE 372 - Modeling and Simulation (T/R 11:00 AM - 12:15 PM)
EE 472, 30884.0, MWF, 10:00 AM - 10:50 AM, 4.0, EE 472 - Digital Signal Processing (M/W/F 10:00 AM - 10:50 AM)
EE 482, 30664.0, MW, 12:00 PM - 12:50 PM, 3.0, EE 482 - Capstone Design II (M/W 12:00 PM - 12:50 PM)
