DEPT,SUBJECT,TERMDESC,CRN,COURSE,TITLE,MEET1,INSTR,WHERE1,WHERE2,MAXENRL,CREDS,DAY1,DAY2,BEGINTIME1,ENDTIME1,BEGINTIME2,ENDTIME2,rptWHERE,rptDAYS,rptTIME
AFAS,Air Force Aerospace Studies,Fall 2024,24237,AFAS 120-01,Heritage and Value I Freshman,L,"Bush, Emmette (P) / Lacy, Brent", , ,20,1,W,,1400,1450,,, ,W,1400-1450
AFAS,Air Force Aerospace Studies,Fall 2024,24240,AFAS 120-02,Heritage and Value I,L,"Lacy, Brent (P)", , ,20,1,W,,1400,1450,,, ,W,1400-1450
AFAS,Air Force Aerospace Studies,Fall 2024,24238,AFAS 120L-01,Leadership Laboratory Freshman,L,"Vasquez, Vicente (P) / Lacy, Brent", , ,20,1,W,,1500,1700,,, ,W,1500-1700
AFAS,Air Force Aerospace Studies,Fall 2024,24241,AFAS 120L-02,Leadership Laboratory,L,"Lacy, Brent (P)", , ,20,1,W,,1500,1715,,, ,W,1500-1715
AFAS,Air Force Aerospace Studies,Fall 2024,24239,AFAS 250-01,Team and Leadership Fund I,L,"Salazar, Juan (P) / Lacy, Brent", , ,20,1,W,,1300,1350,,, ,W,1300-1350
AFAS,Air Force Aerospace Studies,Fall 2024,24242,AFAS 250L-01,Leadership Lab I,B,"Vasquez, Vicente (P) / Lacy, Brent", , ,20,1,W,,1500,1700,,, ,W,1500-1700
AFAS,Air Force Aerospace Studies,Fall 2024,24563,AFAS 300-01,Leading Ppl and Eff Comm I,L,"Tootle, Dylan (P) / Lacy, Brent", , ,10,3,TR,,1400,1515,,, ,TR,1400-1515
AFAS,Air Force Aerospace Studies,Fall 2024,24564,AFAS 300L-01,Air Force Leadership Lab,B,"Tootle, Dylan (P) / Lacy, Brent", , ,10,1,W,,1500,1700,,, ,W,1500-1700
AFAS,Air Force Aerospace Studies,Fall 2024,24565,AFAS 325-01,AFROTC Directed Studies,D,"Vasquez, Vicente (P) / Lacy, Brent", , ,10,Variable,,,,,,, ,,
AFAS,Air Force Aerospace Studies,Fall 2024,24243,AFAS 329-01,Active Duty Phys Training Prep,L,"Vasquez, Vicente (P) / Lacy, Brent", , ,20,1,TRF,,630,730,,, ,TRF,0630-0730
AFAS,Air Force Aerospace Studies,Fall 2024,24566,AFAS 350-01,Air Force ROTC Field Training,L,"Vasquez, Vicente (P) / Lacy, Brent", , ,10,3,,,,,,, ,,
AFAS,Air Force Aerospace Studies,Fall 2024,24567,AFAS 400-01,Natl Security Leadership Res I,L,"Vasquez, Vicente (P) / Lacy, Brent", , ,10,3,TR,,930,1045,,, ,TR,0930-1045
AFAS,Air Force Aerospace Studies,Fall 2024,24568,AFAS 400L-01,Air Force Leadership Lab,B,"Vasquez, Vicente (P) / Lacy, Brent", , ,10,1,W,,1500,1700,,, ,W,1500-1700
