DEPT,SUBJECT,TERMDESC,CRN,COURSE,TITLE,MEET1,INSTR,WHERE1,WHERE2,MAXENRL,CREDS,DAY1,DAY2,BEGINTIME1,ENDTIME1,BEGINTIME2,ENDTIME2,rptWHERE,rptDAYS,rptTIME
AFAS,Air Force Aerospace Studies,Spring 2024,35821,AFAS 120-01,Heritage and Value I,,, , ,0,1,,,,,,, ,,
AFAS,Air Force Aerospace Studies,Spring 2024,35822,AFAS 121-01,Heritage and Value II,L,"Berndt, Aaron (P)", , ,20,1,W,,1400,1450,,, ,W,1400-1450
AFAS,Air Force Aerospace Studies,Spring 2024,35823,AFAS 121L-01,Leadership Laboratory,B,"Lacy, Brent (P)", , ,20,1,W,,1500,1700,,, ,W,1500-1700
AFAS,Air Force Aerospace Studies,Spring 2024,35824,AFAS 251-01,Team and Leadership Fund II,L,"Salazar, Juan (P)", , ,20,1,W,,1300,1350,,, ,W,1300-1350
AFAS,Air Force Aerospace Studies,Spring 2024,35825,AFAS 251L-01,Leadership Lab II,L,"Lacy, Brent (P)", , ,20,1,W,,1500,1700,,, ,W,1500-1700
AFAS,Air Force Aerospace Studies,Spring 2024,35826,AFAS 301-01,Leading Ppl Eff Comm II,L,"Vasquez, Vicente (P)", , ,20,3,TR,,1400,1515,,, ,TR,1400-1515
AFAS,Air Force Aerospace Studies,Spring 2024,35828,AFAS 301L-01,Air Force Leadership Lab,B,"Lacy, Brent (P)", , ,20,1,W,,1500,1700,,, ,W,1500-1700
AFAS,Air Force Aerospace Studies,Spring 2024,35829,AFAS 329-01,Active Duty Phys Training Prep,L,"Lacy, Brent (P)", , ,20,1,MWF,,700,800,,, ,MWF,0700-0800
BIOL,Biology,Spring 2024,34146,BIOL 2110-01,Prin of Bio: Cell & Molecular,L,"Goncz, Kaarin (P)",JONESA 102, ,22,3,MWF,,1100,1150,,,JONESA 102,MWF,1100-1150
BIOL,Biology,Spring 2024,34021,BIOL 2110L-01,Prin of Bio: Cell & Molec Lab,B,"Goncz, Kaarin (P)",JONESA 224, ,16,1,W,,1400,1630,,,JONESA 224,W,1400-1630
BIOL,Biology,Spring 2024,35309,BIOL 2142-01,Phage Genome Annotation,L,"DeVeaux, Linda (P)",JONESA 104, ,16,1,TR,,1230,1345,,,JONESA 104,TR,1230-1345
BIOL,Biology,Spring 2024,35787,BIOL 2331-01,Psychobiology of Sex,L,"Thompson, Stewart (P)",CRAMER 107, ,25,3,MWF,,1200,1250,,,CRAMER 107,MWF,1200-1250
BIOL,Biology,Spring 2024,35310,BIOL 2610-01,"Prin of Bio:Biodiv, Eco, & Evo",L,"Duval, Benjamin (P)",JONESA 101, ,50,3,MWF,,1000,1050,,,JONESA 101,MWF,1000-1050
BIOL,Biology,Spring 2024,35311,BIOL 2610L-01,"Prin of Bio:Biodiv,Eco&Evo Lab",B,"Goncz, Kaarin (P)",JONESA 202, ,16,1,M,,1400,1630,,,JONESA 202,M,1400-1630
BIOL,Biology,Spring 2024,35312,BIOL 2610L-02,"Prin of Bio:Biodiv,Eco&Evo Lab",B,"Goncz, Kaarin (P)",JONESA 202, ,16,1,T,,1400,1630,,,JONESA 202,T,1400-1630
BIOL,Biology,Spring 2024,35313,BIOL 2610L-03,"Prin of Bio:Biodiv,Eco&Evo Lab",B,"Goncz, Kaarin (P)",JONESA 202, ,0,1,R,,1400,1630,,,JONESA 202,R,1400-1630
