term,subject,crn,course_code,campus,days,date_range,time,location,credit_hours,type,title,instructor,seats,limit,enrolled,waitlist,fees,bookstore_link
202330,GRMN,31482,GRMN 1120-01,M, M W F ,01/16/2023-05/09/2023,1100-1150,SPEARE 15,3,CLAS,g:German II,Lois Phillips,16,20,4,0,$25,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=SPRING%2023&cid=31482
202330,FDMA,31562,FDMA 0289-01,M,  T R  ,01/16/2023-05/09/2023,1400-1645,SPEARE 23,3,CLAS,Mobile Application Design,Rebecca M. Spruill,2,20,18,0,$45,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=SPRING%2023&cid=31562
202330,FDMA,31558,FDMA 0289-02,M,  T R  ,01/16/2023-05/09/2023,1700-1840,SPEARE 23,3,CLAS,Sculpture & Identity,Maria G. Garcia Guillen,5,20,15,0,$60,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=SPRING%2023&cid=31558
202330,ENVS,31786,ENVS 412-01,M,  T R  ,01/16/2023-05/09/2023,1100-1215,SPEARE 23,3,CLAS,Geographic Information Systems,Phillip L. Miller,6,10,4,0,N/A,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=SPRING%2023&cid=31786
202330,ENVS,31787,ENVS 412L-01,M,     F ,01/16/2023-05/09/2023,1400-1700,CRAMER 127,0,CLAS,Geographic Information Lab,Phillip L. Miller,6,10,4,0,N/A,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=SPRING%2023&cid=31787
202330,GEOC,30013,GEOC 500-01,M,       ,01/16/2023-05/09/2023,, ,1,CLAS,Directed Research,Nelia Dunbar,10,10,0,0,N/A,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=SPRING%2023&cid=30013
202330,GEOC,30014,GEOC 500-02,M,       ,01/16/2023-05/09/2023,, ,1,CLAS,Directed Research,Bonnie Frey,10,10,0,0,N/A,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=SPRING%2023&cid=30014
202330,GEOC,30016,GEOC 500-03,M,       ,01/16/2023-05/09/2023,, ,1,CLAS,Directed Research,Alexander Gysi,8,10,2,0,N/A,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=SPRING%2023&cid=30016
202330,GEOC,30430,GEOC 500-05,M,       ,01/16/2023-05/09/2023,, ,1,CLAS,Directed Research,Matthew T. Heizler,10,10,0,0,N/A,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=SPRING%2023&cid=30430
202330,GEOC,30433,GEOC 500-06,M,       ,01/16/2023-05/09/2023,, ,1,CLAS,Directed Research,Nicole C. Hurtig,9,10,1,0,N/A,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=SPRING%2023&cid=30433
202330,GEOC,30530,GEOC 500-08,M,       ,01/16/2023-05/09/2023,, ,1,CLAS,Directed Research,Shari A. Kelley,10,10,0,0,N/A,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=SPRING%2023&cid=30530
