term,subject,crn,course_code,campus,days,date_range,time,location,credit_hours,type,title,instructor,seats,limit,enrolled,waitlist,fees,bookstore_link
202620,SPAN,25076,SPAN 1110-01,M, M W F ,08/18/2025-12/12/2025,0900-0950,SPEARE 117,3,CLAS,g: Spanish I (Fresh),Matthew S. Johnson,7,7,0,0,$25,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=FALL%2025&cid=25076
202620,SPAN,25107,SPAN 1110-02,M, M W F ,08/18/2025-12/12/2025,0900-0950,SPEARE 117,3,CLAS,g:Spanish I,Matthew S. Johnson,7,18,11,0,$25,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=FALL%2025&cid=25107
202620,SPAN,26453,SPAN 2123-01,M, M W F ,08/18/2025-12/12/2025,1200-1250, ,3,CLAS,g:Conversational Spanish,Matthew S. Johnson,21,25,4,0,$25,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=FALL%2025&cid=26453
202620,STCH,25588,STCH 5001-01D,DE,       ,08/18/2025-12/12/2025,,WEB-V ,2,CLAS,Math for Teachers,Andrew Phillips,25,25,0,0,$20,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=FALL%2025&cid=25588
202620,STCH,26496,STCH 5010-01D,DE,       ,08/18/2025-12/12/2025,, ,3,CLAS,Comp Sci for Educators,Subhasish Mazumdar,25,25,0,0,$20,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=FALL%2025&cid=26496
202620,STCH,26497,STCH 5016-01D,DE,       ,08/18/2025-12/12/2025,, ,3,CLAS,Eng for Educator: Drones & Bio,Mostafa Hassanalian,25,25,0,0,$20,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=FALL%2025&cid=26497
202620,STCH,25531,STCH 5090-01D,DE,       ,08/18/2025-12/12/2025,,WEB-V ,1,CLAS,Independent Study,Mark C. Samuels,5,5,0,0,$20,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=FALL%2025&cid=25531
202620,STCH,25533,STCH 5090-02D,DE,       ,08/18/2025-12/12/2025,,WEB-V ,1,CLAS,Independent Study,Taffeta M. Elliott,5,5,0,0,$20,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=FALL%2025&cid=25533
202620,STCH,26490,STCH 5090-03,DE,       ,08/18/2025-12/12/2025,, ,1,CLAS,Independent Study,Mostafa Hassanalian,5,5,0,0,$20,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=FALL%2025&cid=26490
202620,PCOM,25298,PCOM 5003-01,M,  T R  ,08/18/2025-12/12/2025,1530-1645,CRAMER 203,3,CLAS,Applied Research Methods,Hayley N. McCullough,8,8,0,0,$40,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=FALL%2025&cid=25298
202620,PCOM,25299,PCOM 5003-01D,M,  T R  ,08/18/2025-12/12/2025,1530-1645,WEB-V ,3,CLAS,Applied Research Methods,Hayley N. McCullough,6,7,1,0,$40,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=FALL%2025&cid=25299
202620,PCOM,26447,PCOM 5006-01,M, M W   ,08/18/2025-12/12/2025,1700-1850, ,3,CLAS,"Comm, Prod, Experiential Desig",Rebecca M. Spruill,10,10,0,0,$40,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=FALL%2025&cid=26447
202620,PCOM,26448,PCOM 5006-01D,DE, M W   ,08/18/2025-12/12/2025,1700-1850, ,3,CLAS,"Comm, Product & Experience Des",Rebecca M. Spruill,4,5,1,0,$40,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=FALL%2025&cid=26448
202620,TCOM,25108,TCOM 1120-01,M,   W   ,08/18/2025-12/12/2025,1600-1650, ,1,CLAS,g:Orientation to Technical Com,Elisabeth A. Kramer-Simpson,23,25,2,0,$40,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=FALL%2025&cid=25108
202620,TCOM,26454,TCOM 1130-01,M,  T R  ,08/18/2025-12/12/2025,1100-1215, ,3,CLAS,g:Visual Comm and Graph Design,,19,25,6,0,$40,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=FALL%2025&cid=26454
202620,TCOM,25248,TCOM 3021-01,M,   W   ,08/18/2025-12/12/2025,1400-1450,FITCH 107,3,CLAS,g:Internship,Elisabeth A. Kramer-Simpson,9,10,1,0,$40,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=FALL%2025&cid=25248
202620,TCOM,26455,TCOM 3051-01,M,  T R  ,08/18/2025-12/12/2025,1400-1515, ,3,CLAS,g:Web Design,,24,25,1,0,$40,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=FALL%2025&cid=26455
202620,TCOM,25249,TCOM 4020-01,M,  T R  ,08/18/2025-12/12/2025,1530-1645,CRAMER 203,3,CLAS,g:Senior Seminar,Hayley N. McCullough,9,10,1,0,$40,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=FALL%2025&cid=25249
202620,TCOM,26456,TCOM 4061-01,M,  T R  ,08/18/2025-12/12/2025,1230-1345, ,3,CLAS,g:Storytelling with Data,Taylor C. Dotson,14,15,1,0,$40,http://www.nmtechbookstore.com/SelectCourses.aspx?src=2&type=2&stoid=289&trm=FALL%2025&cid=26456
